Hilos,Promedio Tiempo Inicializaci贸n (s),Error Inicializaci贸n (s),Promedio Tiempo Asignaci贸n (s),Error Asignaci贸n (s),Promedio Tiempo Suma (s),Error Suma (s)
1,.23925,.05531,.27600,.05282,.78458,.06049
2,.13863,.11480,.14624,.14010,.78148,.06058
3,.09354,.15585,.11007,.17415,.76489,.06363
4,.08168,.16700,.08854,.19475,.82445,.07245
5,.06562,.18223,.07135,.21137,.74630,.07162
6,.05907,.18849,.06203,.22040,.65786,.14042
7,.05680,.19065,.05326,.22893,.74503,.07224
8,.05287,.19442,.05174,.23041,.68039,.12049
9,.05430,.19305,.04956,.23252,.65157,.14611
10,.05713,.19034,.05053,.23158,.65627,.14188
11,.06380,.18395,.05027,.23184,.69454,.10848
12,.06542,.18242,.04857,.23349,.73000,.08148
13,.06565,.18220,.04920,.23287,.72277,.08648
14,.06814,.17983,.04884,.23323,.69793,.10568
15,.06866,.17933,.04895,.23313,.75762,.06625
16,.07051,.17756,.04881,.23325,.69643,.10691
17,.06981,.17824,.04998,.23212,.69623,.10709
18,.07281,.17538,.05115,.23097,.66221,.13652
19,.07234,.17584,.04916,.23291,.69764,.10592
20,.07596,.17239,.04941,.23268,.60706,.18756
